task_id,model,schedule,domain,terminal_error,integrated_error,all_wrong_terminal,all_correct_terminal,invalid_calls,llm_calls,checks
heldout-000,gpt-4.1-mini-2025-04-14,early,feature,0.0,0.08349609375,0,1,0,116,12
heldout-000,gpt-4.1-mini-2025-04-14,late,feature,0.5,0.94140625,0,0,0,116,12
heldout-000,gpt-4.1-mini-2025-04-14,spread,feature,0.75,0.8642578125,0,0,0,116,12
heldout-001,gpt-4.1-mini-2025-04-14,early,warehouse,0.0,0.4111328125,0,1,0,116,12
heldout-001,gpt-4.1-mini-2025-04-14,late,warehouse,0.375,0.9609375,0,0,0,116,12
heldout-001,gpt-4.1-mini-2025-04-14,spread,warehouse,0.0,0.4423828125,0,1,0,116,12
heldout-002,gpt-4.1-mini-2025-04-14,early,routing,0.0625,0.31396484375,0,0,0,116,12
heldout-002,gpt-4.1-mini-2025-04-14,late,routing,0.5,0.9658203125,0,0,0,116,12
heldout-002,gpt-4.1-mini-2025-04-14,spread,routing,0.0,0.44140625,0,1,0,116,12
heldout-003,gpt-4.1-mini-2025-04-14,early,feature,1.0,0.6943359375,1,0,0,116,12
heldout-003,gpt-4.1-mini-2025-04-14,late,feature,0.5,0.95361328125,0,0,0,116,12
heldout-003,gpt-4.1-mini-2025-04-14,spread,feature,0.1875,0.68408203125,0,0,0,116,12
heldout-004,gpt-4.1-mini-2025-04-14,early,warehouse,0.0,0.3251953125,0,1,0,116,12
heldout-004,gpt-4.1-mini-2025-04-14,late,warehouse,0.4375,0.93798828125,0,0,0,116,12
heldout-004,gpt-4.1-mini-2025-04-14,spread,warehouse,0.9375,0.8505859375,0,0,0,116,12
heldout-005,gpt-4.1-mini-2025-04-14,early,routing,0.0,0.181640625,0,1,0,116,12
heldout-005,gpt-4.1-mini-2025-04-14,late,routing,0.5,0.9580078125,0,0,0,116,12
heldout-005,gpt-4.1-mini-2025-04-14,spread,routing,0.0,0.37646484375,0,1,0,116,12
heldout-006,gpt-4.1-mini-2025-04-14,early,feature,0.0,0.14013671875,0,1,0,116,12
heldout-006,gpt-4.1-mini-2025-04-14,late,feature,0.5625,0.79248046875,0,0,0,116,12
heldout-006,gpt-4.1-mini-2025-04-14,spread,feature,0.5,0.6806640625,0,0,0,116,12
heldout-007,gpt-4.1-mini-2025-04-14,early,warehouse,1.0,0.8212890625,1,0,0,116,12
heldout-007,gpt-4.1-mini-2025-04-14,late,warehouse,0.4375,0.93603515625,0,0,0,116,12
heldout-007,gpt-4.1-mini-2025-04-14,spread,warehouse,0.875,0.896484375,0,0,0,116,12
heldout-008,gpt-4.1-mini-2025-04-14,early,routing,0.0,0.31103515625,0,1,0,116,12
heldout-008,gpt-4.1-mini-2025-04-14,late,routing,0.5625,0.94775390625,0,0,0,116,12
heldout-008,gpt-4.1-mini-2025-04-14,spread,routing,0.9375,0.8056640625,0,0,0,116,12
heldout-009,gpt-4.1-mini-2025-04-14,early,feature,0.0,0.1142578125,0,1,0,116,12
heldout-009,gpt-4.1-mini-2025-04-14,late,feature,0.375,0.96484375,0,0,0,116,12
heldout-009,gpt-4.1-mini-2025-04-14,spread,feature,0.25,0.6708984375,0,0,0,116,12
heldout-010,gpt-4.1-mini-2025-04-14,early,warehouse,1.0,0.79345703125,1,0,0,116,12
heldout-010,gpt-4.1-mini-2025-04-14,late,warehouse,0.5,0.96435546875,0,0,0,116,12
heldout-010,gpt-4.1-mini-2025-04-14,spread,warehouse,0.6875,0.88671875,0,0,0,116,12
heldout-011,gpt-4.1-mini-2025-04-14,early,routing,0.0,0.21826171875,0,1,0,116,12
heldout-011,gpt-4.1-mini-2025-04-14,late,routing,0.4375,0.9365234375,0,0,0,116,12
heldout-011,gpt-4.1-mini-2025-04-14,spread,routing,0.625,0.859375,0,0,0,116,12
heldout-012,gpt-4.1-mini-2025-04-14,early,feature,0.0,0.10595703125,0,1,0,116,12
heldout-012,gpt-4.1-mini-2025-04-14,late,feature,0.375,0.95849609375,0,0,0,116,12
heldout-012,gpt-4.1-mini-2025-04-14,spread,feature,0.625,0.83251953125,0,0,0,116,12
heldout-013,gpt-4.1-mini-2025-04-14,early,warehouse,1.0,0.80419921875,1,0,0,116,12
heldout-013,gpt-4.1-mini-2025-04-14,late,warehouse,0.4375,0.95361328125,0,0,0,116,12
heldout-013,gpt-4.1-mini-2025-04-14,spread,warehouse,0.875,0.90771484375,0,0,0,116,12
heldout-014,gpt-4.1-mini-2025-04-14,early,routing,1.0,0.8115234375,1,0,0,116,12
heldout-014,gpt-4.1-mini-2025-04-14,late,routing,0.375,0.962890625,0,0,0,116,12
heldout-014,gpt-4.1-mini-2025-04-14,spread,routing,0.8125,0.9140625,0,0,0,116,12
heldout-015,gpt-4.1-mini-2025-04-14,early,feature,0.0,0.14892578125,0,1,0,116,12
heldout-015,gpt-4.1-mini-2025-04-14,late,feature,0.5,0.970703125,0,0,0,116,12
heldout-015,gpt-4.1-mini-2025-04-14,spread,feature,0.875,0.908203125,0,0,0,116,12
heldout-016,gpt-4.1-mini-2025-04-14,early,warehouse,1.0,0.833984375,1,0,0,116,12
heldout-016,gpt-4.1-mini-2025-04-14,late,warehouse,0.4375,0.9638671875,0,0,0,116,12
heldout-016,gpt-4.1-mini-2025-04-14,spread,warehouse,1.0,0.88720703125,1,0,0,116,12
heldout-017,gpt-4.1-mini-2025-04-14,early,routing,0.0,0.13818359375,0,1,0,116,12
heldout-017,gpt-4.1-mini-2025-04-14,late,routing,0.375,0.9658203125,0,0,0,116,12
heldout-017,gpt-4.1-mini-2025-04-14,spread,routing,0.8125,0.88818359375,0,0,0,116,12
heldout-000,gpt-4.1-nano-2025-04-14,early,feature,0.0,0.09423828125,0,1,0,116,12
heldout-000,gpt-4.1-nano-2025-04-14,late,feature,0.0,0.212890625,0,1,0,116,12
heldout-000,gpt-4.1-nano-2025-04-14,spread,feature,0.0625,0.326171875,0,0,0,116,12
heldout-001,gpt-4.1-nano-2025-04-14,early,warehouse,1.0,0.89794921875,1,0,0,116,12
heldout-001,gpt-4.1-nano-2025-04-14,late,warehouse,0.375,0.9609375,0,0,0,116,12
heldout-001,gpt-4.1-nano-2025-04-14,spread,warehouse,0.875,0.9345703125,0,0,0,116,12
heldout-002,gpt-4.1-nano-2025-04-14,early,routing,1.0,0.87255859375,1,0,0,116,12
heldout-002,gpt-4.1-nano-2025-04-14,late,routing,0.5,0.958984375,0,0,0,116,12
heldout-002,gpt-4.1-nano-2025-04-14,spread,routing,0.6875,0.701171875,0,0,0,116,12
heldout-003,gpt-4.1-nano-2025-04-14,early,feature,1.0,0.80419921875,1,0,0,116,12
heldout-003,gpt-4.1-nano-2025-04-14,late,feature,0.5,0.95361328125,0,0,0,116,12
heldout-003,gpt-4.1-nano-2025-04-14,spread,feature,0.5625,0.75830078125,0,0,0,116,12
heldout-004,gpt-4.1-nano-2025-04-14,early,warehouse,0.0,0.11083984375,0,1,0,116,12
heldout-004,gpt-4.1-nano-2025-04-14,late,warehouse,0.0,0.154296875,0,1,0,116,12
heldout-004,gpt-4.1-nano-2025-04-14,spread,warehouse,0.0,0.11083984375,0,1,0,116,12
heldout-005,gpt-4.1-nano-2025-04-14,early,routing,0.75,0.69091796875,0,0,0,116,12
heldout-005,gpt-4.1-nano-2025-04-14,late,routing,0.4375,0.81396484375,0,0,0,116,12
heldout-005,gpt-4.1-nano-2025-04-14,spread,routing,0.3125,0.48193359375,0,0,0,116,12
heldout-006,gpt-4.1-nano-2025-04-14,early,feature,0.0,0.11181640625,0,1,0,116,12
heldout-006,gpt-4.1-nano-2025-04-14,late,feature,0.0,0.16455078125,0,1,0,116,12
heldout-006,gpt-4.1-nano-2025-04-14,spread,feature,0.0,0.20654296875,0,1,0,116,12
heldout-007,gpt-4.1-nano-2025-04-14,early,warehouse,0.0,0.1865234375,0,1,0,116,12
heldout-007,gpt-4.1-nano-2025-04-14,late,warehouse,0.0,0.21044921875,0,1,0,116,12
heldout-007,gpt-4.1-nano-2025-04-14,spread,warehouse,0.0,0.2255859375,0,1,0,116,12
heldout-008,gpt-4.1-nano-2025-04-14,early,routing,0.5625,0.62548828125,0,0,0,116,12
heldout-008,gpt-4.1-nano-2025-04-14,late,routing,0.25,0.564453125,0,0,0,116,12
heldout-008,gpt-4.1-nano-2025-04-14,spread,routing,0.125,0.48681640625,0,0,0,116,12
heldout-009,gpt-4.1-nano-2025-04-14,early,feature,1.0,0.78857421875,1,0,0,116,12
heldout-009,gpt-4.1-nano-2025-04-14,late,feature,0.375,0.96484375,0,0,0,116,12
heldout-009,gpt-4.1-nano-2025-04-14,spread,feature,0.9375,0.85205078125,0,0,0,116,12
heldout-010,gpt-4.1-nano-2025-04-14,early,warehouse,1.0,0.8876953125,1,0,0,116,12
heldout-010,gpt-4.1-nano-2025-04-14,late,warehouse,0.5,0.96435546875,0,0,0,116,12
heldout-010,gpt-4.1-nano-2025-04-14,spread,warehouse,0.75,0.91162109375,0,0,0,116,12
heldout-011,gpt-4.1-nano-2025-04-14,early,routing,0.0,0.14794921875,0,1,0,116,12
heldout-011,gpt-4.1-nano-2025-04-14,late,routing,0.0625,0.37548828125,0,0,0,116,12
heldout-011,gpt-4.1-nano-2025-04-14,spread,routing,0.0,0.38623046875,0,1,0,116,12
heldout-012,gpt-4.1-nano-2025-04-14,early,feature,1.0,0.7734375,1,0,0,116,12
heldout-012,gpt-4.1-nano-2025-04-14,late,feature,0.375,0.95849609375,0,0,0,116,12
heldout-012,gpt-4.1-nano-2025-04-14,spread,feature,0.75,0.83837890625,0,0,0,116,12
heldout-013,gpt-4.1-nano-2025-04-14,early,warehouse,0.0,0.12841796875,0,1,0,116,12
