model,schedule,outcome,lower,upper,bootstrap_replicates
gpt-4.1-mini-2025-04-14,early,all_correct,0.5458535334802498,0.6653910938086658,5000
gpt-4.1-mini-2025-04-14,early,all_wrong,0.21794944524533508,0.30945161949992156,5000
gpt-4.1-mini-2025-04-14,early,either_endpoint,0.852330163147228,0.8901596725696025,5000
gpt-4.1-mini-2025-04-14,spread,all_correct,0.0631991150030359,0.11750634603869306,5000
gpt-4.1-mini-2025-04-14,spread,all_wrong,0.042239123657440134,0.05519168885630957,5000
gpt-4.1-mini-2025-04-14,spread,either_endpoint,0.11636620433459485,0.1580414623967593,5000
gpt-4.1-mini-2025-04-14,late,all_correct,0.002698537133480042,0.007634082948954109,5000
gpt-4.1-mini-2025-04-14,late,all_wrong,0.0,0.0,5000
gpt-4.1-mini-2025-04-14,late,either_endpoint,0.002698537133480042,0.007634082948954109,5000
gpt-4.1-nano-2025-04-14,early,all_correct,0.004377713810260496,0.21164617160222712,5000
gpt-4.1-nano-2025-04-14,early,all_wrong,0.002054908336805001,0.14940781953273,5000
gpt-4.1-nano-2025-04-14,early,either_endpoint,0.030067822470109768,0.2351798971267266,5000
gpt-4.1-nano-2025-04-14,spread,all_correct,0.007090604525313873,0.1967847078036185,5000
gpt-4.1-nano-2025-04-14,spread,all_wrong,7.870141467623124e-05,0.006215731442108879,5000
gpt-4.1-nano-2025-04-14,spread,either_endpoint,0.010832083168907684,0.19689675326166006,5000
gpt-4.1-nano-2025-04-14,late,all_correct,0.004993795099757914,0.16326508214155616,5000
gpt-4.1-nano-2025-04-14,late,all_wrong,0.0,0.0,5000
gpt-4.1-nano-2025-04-14,late,either_endpoint,0.004993795099757914,0.16326508214155616,5000
